Tarih,Ev Sahibi Takım,Deplasman Takımı,Stadyum
1 Eylül 2024,İstanbul Başakşehir,Antalyaspor,"Başakşehir, İstanbul"
1 Eylül 2024,Eyüpspor,Trabzonspor,"Beyoğlu, İstanbul"
1 Eylül 2024,Hatayspor,Samsunspor,Mersin
1 Eylül 2024,Beşiktaş,Sivasspor,"Beşiktaş, İstanbul"
14 Eylül 2024,Sivasspor,Gaziantep,Sivas
14 Eylül 2024,Samsunspor,Konyaspor,Samsun
14 Eylül 2024,Galatasaray,Çaykur Rizespor,"Sarıyer, İstanbul"
14 Eylül 2024,Bodrum,İstanbul Başakşehir,"Bodrum, Muğla"
15 Eylül 2024,Alanyaspor,Hatayspor,"Alanya, Antalya"
15 Eylül 2024,Kasımpaşa,Fenerbahçe,"Beyoğlu, İstanbul"
15 Eylül 2024,Kayserispor,Eyüpspor,Kayseri
15 Eylül 2024,Trabzonspor,Beşiktaş,Trabzon
16 Eylül 2024,Antalyaspor,Adana Demirspor,"Muratpaşa, Antalya"
20 Eylül 2024,Hatayspor,Bodrum,Mersin
21 Eylül 2024,Fenerbahçe,Galatasaray,"Kadıköy, İstanbul"
21 Eylül 2024,Konyaspor,Sivasspor,Konya
22 Eylül 2024,Çaykur Rizespor,Samsunspor,Rize
22 Eylül 2024,Adana Demirspor,Alanyaspor,Adana
22 Eylül 2024,Kasımpaşa,Antalyaspor,"Beyoğlu, İstanbul"
22 Eylül 2024,Beşiktaş,Eyüpspor,"Beşiktaş, İstanbul"
23 Eylül 2024,Gaziantep,Trabzonspor,Gaziantep
23 Eylül 2024,Göztepe,Kayserispor,"Konak, İzmir"
27 Eylül 2024,Sivasspor,İstanbul Başakşehir,Sivas
28 Eylül 2024,Alanyaspor,Çaykur Rizespor,"Alanya, Antalya"
28 Eylül 2024,Samsunspor,Göztepe,Samsun
28 Eylül 2024,Galatasaray,Kasımpaşa,"Sarıyer, İstanbul"
29 Eylül 2024,Trabzonspor,Konyaspor,Trabzon
29 Eylül 2024,Antalyaspor,Fenerbahçe,"Muratpaşa, Antalya"
29 Eylül 2024,Eyüpspor,Gaziantep,"Beyoğlu, İstanbul"
29 Eylül 2024,Bodrum,Adana Demirspor,"Bodrum, Muğla"
30 Eylül 2024,Kayserispor,Beşiktaş,Kayseri