Başlangıç İstasyonu,Bitiş İstasyonu,Uzunluk (metre),İstasyon Sayısı,Açılış Tarihi,Son Uzatma Tarihi
Yenikapı,Atatürk Havalimanı,"18,900",18,3 Eylül 1989,9 Kasım 2014
Yenikapı,Kirazlı,"15,400",13,-,-
Yenikapı,Hacıosman,"23,490",16,16 Eylül 2000,16 Mart 2014
Bakırköy Sahil,Kayaşehir Merkez,"18,000",20,14 Haziran 2013,10 Mart 2024
Kadıköy,Sabiha Gökçen Havalimanı,"33,500",23,17 Ağustos 2012,2 Ekim 2022
Üsküdar,Samandıra Merkez,"26,500",21,15 Aralık 2017,16 Mart 2024
Levent,Boğaziçi Üniversitesi/Hisarüstü,"3,300",4,19 Nisan 2015,-
Yıldız,Mahmutbey,"20,000",17,28 Ekim 2020,2 Ocak 2023
Bostancı,Parseller,"14,270",13,6 Ocak 2023,-
Ataköy,Olimpiyat,"17,200",14,22 Kasım 2013,18 Mart 2024
Gayrettepe,Arnavutköy Hastane,"51,500",10,22 Ocak 2023,19 Mart 2024